"Report","Item Group Master Report"
"UserName","admin"
"Generated at","09/22/2025, 01:06:59 PM"

"Item Group","Description","Updated Date Time","User Name"
"""harmony","wWelness","1758194589460","admin"
"""vitality","Ice Pulse","1758194583967","admin"
"""The Family Health Network""","Medical","1758194578443","admin"
"Cheese","Shirt","1758126644920","admin"
"Sugar","Pant","1758126524163","admin"
"Rice","Ice Cream","1758126518567","admin"
"Milk","Shirt","1758126159420","admin"
"Dhoti","Test group","1758123573680","admin"
"ManualTestGroup","ManualTestDescription","1758110886780","admin"
"AutoTestGroup_1758090402637","AutoTestDesc_1758090402637","1758110267560","admin"
"AutoTestGroup_1758090324756","AutoTestDesc_1758090324756","1758110188253","admin"
"AutoTestGroup_1758090117968","AutoTestDesc_1758090117968","1758109984477","admin"
"AutoTestGroup_1758089387177","AutoTestDesc_1758089387177","1758109248170","admin"
"AutoTestGroup_1758089380258","AutoTestDesc_1758089380258","1758109241587","admin"
"AutoTestGroup_1758089349222","AutoTestDesc_1758089349222","1758109210283","admin"
"AutoTestGroup_1758089339253","AutoTestDesc_1758089339253","1758109203453","admin"
"AutoTestGroup_1758089303811","AutoTestDesc_1758089303811","1758109166860","admin"
"AutoTestGroup_1758089285634","AutoTestDesc_1758089285634","1758109148260","admin"
"ICE CREAM BHUTAN EXPORT",,"1756914392250","Pragathees"
"ICE CREAM SEYCHELLES EXPORT",,"1756899927800","Pragathees"
"ICE CREAM MALDIVES EXPORT",,"1756896078770","Pragathees"
"ICE CREAM CONGO EXPORT",,"1756894498293","Pragathees"
"SAUDI EXPORT ICE CREAM",,"1756735958693","Pragathees"
"Paneer",,"1755687015367","Pragathees"
"Frozen",,"1753271856860","a"
"Load",,"1753198246183","a"
"TEST001",,"1752328928917","a"
"EMPTY","EMPTY","1752234574537","a"
"test","check","1747741704217","admin"
"IceCream","Edible","1747741691263","admin"
