"Report","Item Group Report"
"UserName","admin"
"Generated at","12/24/2025, 01:30:12 PM"

"Item Group","Item Group Description"
"Medical,Ice Pulse,wWelness,PureHealth,Dhoti3","undefined3"
"Medical,Ice Pulse,wWelness,PureHealth,Dhoti2","undefined2"
"Medical,Ice Pulse,wWelness,PureHealth,Dhoti1","undefined1"
"""harmony","wWelness"
"""vitality","Ice Pulse"
"""The Family Health Network""","Medical"
"Red Cake","RC"
"White Cake","WC"
"Dhoti","White Dhoti"
"Cake Butter","CB"
"Cake","Red Velvet"
"ITEM008","BUTTERSCOTCH"
"ITEM007","BUTTERSCOTCH"
"ITEM006","BUTTERSCOTCH"
"ITEM005","BUTTERSCOTCH"
"ITEM004","BUTTERSCOTCH"
"ITEM003","BUTTERSCOTCH"
"ITEM002","BUTTERSCOTCH"
"ITEM001","BUTTERSCOTCH"
"BANGALORE MELTED STOCK",
"MAURITIUS DICED 2KG",
"ICE CREAM MIXING",
"SAPPHIRE FOODS ICE CREAM",
"PANEER CUBES",
"ICE CREAM BHUTAN EXPORT",
"ICE CREAM SEYCHELLES EXPORT",
"ICE CREAM MALDIVES EXPORT",
"ICE CREAM CONGO EXPORT",
"SAUDI EXPORT ICE CREAM",
"Paneer",
"Frozen",
"Load",
"TEST001",
"EMPTY","EMPTY"
"test","check"
"IceCream","Edible"
