"Report","Item Master Report"
"UserName","admin"
"Generated at","12/25/2025, 4:08:15 PM"

"Item Code","Item Name","Item Group","UOM","SKU","Packaging Size","Item Size","ExpiryDuration","Created Date & Time"
"IBWNDC1UTPCVL","Seagram Imperial Blue 48X180","IBW","CA","IBWN","N","180ML","100","1765292489000"
"HPTNXB9UTPCVL","100 Pipers 12YO 48 X 180","HPT","CA","HPTN","N","180ML","100","1765292447000"
"HPSQ049UTPCSD","76001D -100 Pipers Deluxe","HPS","CA","HPSQ","Q","750ML","100","1765292382000"
"HPSPXB9UTPCVL","100 Pipers Scotch 24 X 375","HPS","CA","HPSP","P","375ML","100","1765292340000"
"HPSNXB2UTPCVL","100 Pipers Scotch  48 X 180","HPS","CA","HPSN","N","180ML","100","1765292279000"
"HPEQ049UTPCVL","Seagrams 100Pipers 8YO 12X750-","HPE","CA","HPEQ","Q","750ML","100","1765292198000"
"HPEN049UTPCVL","Seagrams 100Pipers 8YO 48X180-","HPE","CA","HPEN","N","180ML","100","1765292125000"
"BPWQ048UTPCSD","79230S -Blenders Pride Quart","BPW","CA","BPWQ","Q","750ML","100","1765292047000"
"BPWPEP8UTPCVL","Seagrams Blenders Pride24X375-","BPW","CA","BPWP","P","375ML","100","1765291988000"
"BPWNEP8UTPCVL","Seagrams Blenders Pride48X180-","BPW","CA","BPWN","N","180ML","100","1765291924000"
"BPWDEP2UTPCVL","Seagrams Blenders Pride 96X90","BPW","CA","BPWD","D","90ML","100","1765291885000"
"BPRQ049UTPCSD","79322A -Blenders Pride Reserve","BPR","CA","BPRQ","Q","750ML","100","1765291841000"
"BPRPE09UTPCVL","Blenders Pride Reserve 24x375-","BPR","CA","BPRP","P","375ML","100","1765291727000"
"BPRNE03UTPCVL","Blenders Pride Reserve 48x180-","BPR","CA","BPRN","N","180ML","100","1765291666000"
"BPRDE01UTPCVL","Blenders Pride Reserve 96x90","BPR","CA","BPRD","D","90ML","100","1765291623000"
"BPFQP02UTPCVL","Seagrams Blenders Pride12X750-","BPF","CA","BPFQ","Q","750ML","100","1765291579000"
"BPFPP01UTPCVL","Seagrams Blenders Pride24X375-","BPF","CA","BPFP","P","375ML","100","1765291516000"
"BPFNP01UTPCVL","Seagrams Blenders Pride48X180-","BPF","CA","BPFN","N","180ML","100","1765291252000"
"BPFDP01UTPCVL","Seagrams Blenders Pride 96X90-","BPF","CA","BPFD","D","90ML","100","1765291164000"
"HPTQ049UTPCSD","76041T -100 Pipers 12YO","HPT","CA","HPTQ","Q","750ML","100","1765282987000"
